1,1,509.9149,29.4523,0.9462
1,2,847.6771,76.2278,0.9433
1,3,733.9178,71.7942,0.9421
1,4,387.4719,25.5570,0.9399
1,5,597.6631,66.0303,0.9363
1,6,785.7931,132.6013,0.9358
1,7,954.6614,94.1457,0.9353
1,8,388.0022,112.7010,0.9339
1,9,898.8846,136.0572,0.9334
1,10,787.5347,35.4492,0.9329
1,11,654.9067,125.2130,0.9325
1,12,510.9409,111.9785,0.9320
2,1,509.8328,29.4592,0.9446
2,2,847.6467,76.1006,0.9446
2,3,733.9351,71.8180,0.9421
2,4,387.5030,25.5363,0.9381
2,5,597.6630,66.0498,0.9372
2,6,785.7729,132.5768,0.9349
2,7,954.6504,94.0967,0.9372
2,8,387.9510,112.7495,0.9329
2,9,898.9140,136.0444,0.9334
2,10,787.5593,35.3748,0.9334
2,11,654.8068,125.2782,0.9310
2,12,510.9848,111.8763,0.9315
3,1,509.8541,29.3886,0.9462
3,2,847.6567,76.0499,0.9454
3,3,733.9453,71.8258,0.9408
3,4,387.4098,25.5443,0.9390
3,5,597.6818,66.0234,0.9363
3,6,785.7561,132.5708,0.9349
3,7,954.6698,94.1984,0.9368
3,8,387.9211,112.7684,0.9334
3,9,898.9213,136.0423,0.9329
3,10,787.5941,35.4588,0.9325
3,11,654.7650,125.3331,0.9315
3,12,510.9901,111.8729,0.9315
4,1,509.8880,29.4102,0.9458
4,2,847.6723,76.1553,0.9433
4,3,733.9232,71.8032,0.9421
4,4,387.4590,25.5507,0.9399
4,5,597.6574,66.0148,0.9363
4,6,785.7705,132.5828,0.9363
4,7,954.6429,94.1438,0.9363
4,8,387.9611,112.7256,0.9334
4,9,898.9215,136.0531,0.9329
4,10,787.5270,35.4572,0.9334
4,11,654.8421,125.2752,0.9325
4,12,510.9653,111.9498,0.9320
5,1,509.8421,29.4502,0.9450
5,2,847.6659,76.0882,0.9446
5,3,733.9381,71.7892,0.9417
5,4,387.5014,25.5566,0.9381
5,5,597.6331,66.0438,0.9372
5,6,785.7706,132.5741,0.9353
5,7,954.5765,94.0976,0.9363
5,8,387.9716,112.7370,0.9325
5,9,898.9076,136.0347,0.9329
5,10,787.5710,35.4107,0.9329
5,11,654.7906,125.2949,0.9315
5,12,510.9868,111.8980,0.9320
6,1,509.8608,29.3876,0.9462
6,2,847.6212,76.0804,0.9454
6,3,733.9493,71.8275,0.9412
6,4,387.4227,25.5408,0.9395
6,5,597.6132,66.0326,0.9381
6,6,785.7768,132.5990,0.9344
6,7,954.6288,94.1078,0.9363
6,8,387.9555,112.7361,0.9329
6,9,898.9101,136.0392,0.9334
6,10,787.5810,35.4361,0.9325
6,11,654.7617,125.3117,0.9320
6,12,511.0056,111.8401,0.9315
7,1,510.0070,29.3729,0.9450
7,2,847.5994,76.1943,0.9429
7,3,733.9784,71.7940,0.9421
7,4,387.2970,25.4300,0.9399
7,5,597.5955,66.0662,0.9358
7,6,785.7639,132.6917,0.9349
7,7,954.4991,94.1418,0.9349
7,8,387.9213,112.6675,0.9320
7,9,898.9359,135.9040,0.9334
7,10,787.5644,35.4859,0.9325
7,11,654.8020,125.3325,0.9320
7,12,510.9310,111.9036,0.9320
8,1,509.8861,29.4401,0.9458
8,2,847.6491,76.1070,0.9438
8,3,733.9249,71.8183,0.9417
8,4,387.3857,25.4735,0.9381
8,5,597.6380,66.0461,0.9377
8,6,785.7653,132.6584,0.9349
8,7,954.5492,94.0503,0.9363
8,8,387.9279,112.7250,0.9329
8,9,898.9348,135.9598,0.9325
8,10,787.5468,35.4481,0.9329
8,11,654.7973,125.3053,0.9320
8,12,510.9763,111.8999,0.9315
9,1,509.8905,29.3961,0.9462
9,2,847.6244,76.0753,0.9450
9,3,733.9243,71.8174,0.9417
