epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,202.874,0.55246,0.29351,0.78681,0.9998,1,0.995,0.90326,0.494,0.28358,0.76482,0.0011486,0.0011486,0.0011486
45,207.841,0.55032,0.30103,0.78278,0.99988,1,0.995,0.89235,0.52428,0.28014,0.76738,0.0011288,0.0011288,0.0011288
46,213.115,0.55461,0.29884,0.78165,0.99971,1,0.995,0.89466,0.55018,0.30091,0.76752,0.001109,0.001109,0.001109
47,218.312,0.53303,0.29194,0.7816,0.99984,1,0.995,0.90067,0.48601,0.27102,0.76557,0.0010892,0.0010892,0.0010892
48,223.434,0.53968,0.28747,0.78467,0.9996,1,0.995,0.89565,0.53057,0.28826,0.76783,0.0010694,0.0010694,0.0010694
49,228.357,0.51613,0.28095,0.78044,0.99957,1,0.995,0.90314,0.46632,0.26993,0.76345,0.0010496,0.0010496,0.0010496
50,233.527,0.53495,0.28848,0.77992,0.9982,0.99591,0.995,0.85707,0.65101,0.33113,0.77169,0.0010298,0.0010298,0.0010298
51,238.702,0.52967,0.29284,0.78019,0.99966,1,0.995,0.86734,0.60211,0.30164,0.77045,0.00101,0.00101,0.00101
52,243.86,0.50562,0.27915,0.77557,0.99744,1,0.995,0.87734,0.55944,0.28707,0.76807,0.0009902,0.0009902,0.0009902
53,248.901,0.53767,0.289,0.7816,0.99939,1,0.995,0.86531,0.61496,0.31279,0.77309,0.0009704,0.0009704,0.0009704
54,253.823,0.52617,0.28482,0.77826,0.99984,1,0.995,0.90603,0.44176,0.25815,0.76234,0.0009506,0.0009506,0.0009506
55,259.03,0.52261,0.28158,0.7805,0.99973,1,0.995,0.89341,0.47927,0.27295,0.76395,0.0009308,0.0009308,0.0009308
56,264.169,0.51599,0.27815,0.78009,0.99821,0.99898,0.995,0.9025,0.47531,0.27051,0.76451,0.000911,0.000911,0.000911
57,269.139,0.50058,0.27333,0.77502,0.99985,1,0.995,0.87908,0.54301,0.27491,0.76624,0.0008912,0.0008912,0.0008912
58,274.382,0.49278,0.26663,0.7772,0.99982,1,0.995,0.89402,0.52009,0.26838,0.76587,0.0008714,0.0008714,0.0008714
59,279.393,0.48571,0.2664,0.7763,0.9999,1,0.995,0.89404,0.48616,0.26075,0.76378,0.0008516,0.0008516,0.0008516
60,284.383,0.50813,0.27815,0.77924,0.99979,1,0.995,0.89757,0.47539,0.2672,0.76346,0.0008318,0.0008318,0.0008318
61,289.416,0.48277,0.2705,0.77726,0.99985,1,0.995,0.9057,0.43665,0.25526,0.75996,0.000812,0.000812,0.000812
62,294.657,0.49336,0.27167,0.7767,0.99987,1,0.995,0.90285,0.4676,0.26597,0.76192,0.0007922,0.0007922,0.0007922
63,299.726,0.50427,0.27661,0.7782,0.99985,1,0.995,0.88946,0.51099,0.27806,0.76623,0.0007724,0.0007724,0.0007724
64,304.822,0.5168,0.27717,0.78081,0.99985,1,0.995,0.89623,0.47569,0.25216,0.7624,0.0007526,0.0007526,0.0007526
65,309.998,0.4899,0.2687,0.77461,0.99984,1,0.995,0.91761,0.4312,0.25425,0.76056,0.0007328,0.0007328,0.0007328
